games;logo;season;city;second_city;country;second_country;country_flag;second_country_flag;region;second_region;canceled;reason;start_date;end_date
1988 Winter;https://upload.wikimedia.org/wikipedia/en/6/64/1988_Winter_Olympics_logo.svg;Winter;Calgary;N/A;Canada;N/A;https://upload.wikimedia.org/wikipedia/commons/d/d9/Flag_of_Canada_%28Pantone%29.svg;N/A;North America;N/A;0;N/A;13/02/1988;28/02/1988
1988 Summer;https://upload.wikimedia.org/wikipedia/en/d/d6/1988_Summer_Olympics_logo.svg;Summer;Seoul;N/A;South Korea;N/A;https://upload.wikimedia.org/wikipedia/commons/0/09/Flag_of_South_Korea.svg;N/A;Asia;N/A;0;N/A;17/09/1988;02/10/1988
1992 Winter;https://upload.wikimedia.org/wikipedia/en/d/d1/1992_Winter_Olympics_logo.svg;Winter;Albertville;N/A;France;N/A;https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg;N/A;Europe;N/A;0;N/A;08/02/1992;23/02/1992
1992 Summer;https://upload.wikimedia.org/wikipedia/en/7/7a/1992_Summer_Olympics_logo.svg;Summer;Barcelona;N/A;Spain;N/A;https://upload.wikimedia.org/wikipedia/en/9/9a/Flag_of_Spain.svg;N/A;Europe;N/A;0;N/A;25/07/1992;09/08/1992
1994 Winter;https://upload.wikimedia.org/wikipedia/en/9/96/1994_Winter_Olympics_logo.svg;Winter;Lillehammer;N/A;Norway;N/A;https://upload.wikimedia.org/wikipedia/commons/d/d9/Flag_of_Norway.svg;N/A;Europe;N/A;0;N/A;12/02/1994;27/02/1994
1996 Summer;https://upload.wikimedia.org/wikipedia/en/4/4e/1996_Summer_Olympics_logo.svg;Summer;Atlanta;N/A;United States of America;N/A;https://upload.wikimedia.org/wikipedia/commons/a/a9/Flag_of_the_United_States_%28DoS_ECA_Color_Standard%29.svg;N/A;North America;N/A;0;N/A;19/07/1996;04/08/1996
1998 Winter;https://upload.wikimedia.org/wikipedia/en/f/fc/1998_Winter_Olympics_logo.svg;Winter;Nagano;N/A;Japan;N/A;https://upload.wikimedia.org/wikipedia/commons/1/1b/Flag_of_Japan_%281870%E2%80%931999%29.svg;N/A;Asia;N/A;0;N/A;07/02/1998;22/02/1998
2000 Summer;https://upload.wikimedia.org/wikipedia/en/8/81/2000_Summer_Olympics_logo.svg;Summer;Sydney;N/A;Australia;N/A;https://upload.wikimedia.org/wikipedia/commons/8/88/Flag_of_Australia_%28converted%29.svg;N/A;Oceania;N/A;0;N/A;15/09/2000;01/10/2000
2002 Winter;https://upload.wikimedia.org/wikipedia/commons/4/47/2002_Winter_Olympics_logo.svg;Winter;Salt Lake City;N/A;United States of America;N/A;https://upload.wikimedia.org/wikipedia/commons/a/a9/Flag_of_the_United_States_%28DoS_ECA_Color_Standard%29.svg;N/A;North America;N/A;0;N/A;08/02/2002;24/02/2002
2004 Summer;https://upload.wikimedia.org/wikipedia/en/e/e0/Athens_2004_logo.svg;Summer;Athens;N/A;Greece;N/A;https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Greece.svg;N/A;Europe;N/A;0;N/A;13/08/2004;29/08/2004
2006 Winter;https://upload.wikimedia.org/wikipedia/en/0/03/Torino_2006_logo.svg;Winter;Turin;N/A;Italy;N/A;https://upload.wikimedia.org/wikipedia/en/0/03/Flag_of_Italy.svg;N/A;Europe;N/A;0;N/A;10/02/2006;26/02/2006
2008 Summer;https://upload.wikimedia.org/wikipedia/en/8/87/2008_Summer_Olympics_logo.svg;Summer;Beijing;N/A;China;N/A;https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_the_People%27s_Republic_of_China.svg;N/A;Asia;N/A;0;N/A;08/08/2008;24/08/2008
2010 Winter;https://upload.wikimedia.org/wikipedia/eN/A/a7/2010_Winter_Olympics_logo.svg;Winter;Vancouver;N/A;Canada;N/A;https://upload.wikimedia.org/wikipedia/commons/d/d9/Flag_of_Canada_%28Pantone%29.svg;N/A;North America;N/A;0;N/A;12/02/2010;28/02/2010
2012 Summer;https://upload.wikimedia.org/wikipedia/en/d/de/2012_Summer_Olympics_logo.svg;Summer;London;N/A;United Kingdom;N/A;https://upload.wikimedia.org/wikipedia/commons/a/a5/Flag_of_the_United_Kingdom_%281-2%29.svg;N/A;Europe;N/A;0;N/A;27/07/2012;12/08/2012
2014 Winter;https://upload.wikimedia.org/wikipedia/commons/8/8f/Sochi_2014_%28Emblem%29.svg;Winter;Sochi;N/A;Russia;N/A;https://upload.wikimedia.org/wikipedia/en/f/f3/Flag_of_Russia.svg;N/A;Europe;N/A;0;N/A;07/02/2014;23/02/2014
2016 Summer;https://upload.wikimedia.org/wikipedia/en/d/df/2016_Summer_Olympics_logo.svg;Summer;Rio de Janeiro;N/A;Brazil;N/A;https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg;N/A;South America;N/A;0;N/A;05/08/2016;21/08/2016
2018 Winter;https://upload.wikimedia.org/wikipedia/commons/4/49/Pyeongchang_2018_Logo.svg;Winter;Pyeongchang;N/A;South Korea;N/A;https://upload.wikimedia.org/wikipedia/commons/0/09/Flag_of_South_Korea.svg;N/A;Asia;N/A;0;N/A;09/02/2018;25/02/2018
2020 Summer;https://upload.wikimedia.org/wikipedia/en/1/1d/2020_Summer_Olympics_logo_new.svg;Summer;Tokyo;N/A;Japan;N/A;https://upload.wikimedia.org/wikipedia/commons/1/1b/Flag_of_Japan_%281870%E2%80%931999%29.svg;N/A;Asia;N/A;0;N/A;23/07/2021;08/08/2021
2022 Winter;https://upload.wikimedia.org/wikipedia/en/5/5e/2022_Winter_Olympics_official_logo-en.svg;Winter;Beijing;N/A;China;N/A;https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_the_People%27s_Republic_of_China.svg;N/A;Asia;N/A;0;N/A;04/02/2022;20/02/2022
2024 Summer;https://upload.wikimedia.org/wikipedia/en/d/d1/2024_Summer_Olympics_logo.svg;Summer;Paris;N/A;France;N/A;https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg;N/A;Europe;N/A;0;N/A;26/07/2024;11/08/2024
2026 Winter;https://upload.wikimedia.org/wikipedia/commons/2/2c/2026_Winter_Olympics_logo.svg;Winter;Milan;Cortina d'Ampezzo;Italy;N/A;https://upload.wikimedia.org/wikipedia/en/0/03/Flag_of_Italy.svg;N/A;Europe;N/A;0;N/A;06/02/2026;22/02/2026
2028 Summer;https://upload.wikimedia.org/wikipedia/commons/e/e8/2028_Summer_Olympics_Logo.svg;Summer;Los Angeles;N/A;United States of America;N/A;https://upload.wikimedia.org/wikipedia/commons/a/a9/Flag_of_the_United_States_%28DoS_ECA_Color_Standard%29.svg;N/A;North America;N/A;0;N/A;14/07/2028;30/07/2028
